csd_id,smiles1,smiles2
BIGCUP,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CCC1(CC)C(=O)NC(=O)NC1=O
BILXUP,COC(=O)C(C#N)C(C#N)C(=O)OC,C1=[S]C([S]=C1)=C1[S]=CC=[S]1
BIRDIP,O=N(=O)c1ccc(cc1)N(=O)=O,S1C=CSC1=C1SC=CS1
BITROL,S1C(Sc2ccccc12)=C1Sc2ccccc2S1,FC1=CC(C(=CC1=C(C#N)C#N)F)=C(C#N)C#N
BITYUY,NC(N)=S,C1COCCOCCNCCOCCOCCN1
BIWVUY,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,c1ccc2nc3ccccc3cc2c1
BIXFOD,NC(N)=S,CN(C)C1=C(C)N(C)N(c2ccccc2)C1=O
BODSAO,Oc1cccc(O)c1,NC(N)=O
BOMDIQ,COc1cc2[Se]c3cc(OC)c(OC)cc3[Se]c2cc1OC,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
BOVMEE,NC(N)=O,O[I](O)(O)(O)(O)=O
BOWSUB,C1CC2=[Se]C([Se]=C2C1)=C1[Se]=C2CCCC2=[Se]1,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
DKPSAL10,OC(=O)c1ccccc1O,O=C1CNC(=O)CN1
MXTTCQ01,COc1cc2Sc3cc(OC)c(OC)cc3Sc2cc1OC,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
BOGGUZ,COc1ccc(C=CC(O)=O)cc1OC,OC(=O)C=Cc1ccc(cc1N(=O)=O)N(=O)=O
BUFXOP,CC(C)CCNC(=O)NC(=O)c1ccc(cc1)N(=O)=O,CN(C)c1ccc(NC(=O)NC(=O)CCc2ccccc2)cc1
BUHSIG,N#Cc1cc(C#N)c(cc1C#N)C#N,c1ccc(cc1)c1ccccc1
BUKXOU,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,c1cc(ccn1)C=Cc1ccncc1
BUMPEE,OC(C#C)(c1ccccc1)c1ccccc1Br,C1CCN2CC3CC(CN4CCCCC34)C2C1
BUNRAD01,N1c2ccccc2Sc2ccccc12,c1ccc2nc3ccccc3nc2c1
BUWCIF,[Te]1c2ccccc2C(C2c3ccccc3[Te]c3ccccc23)c2ccccc12,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
CAFWAH,ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45
CAPTOC,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,S1C=CC2=C1C1=C(S2)C=CS1
CAXFIQ,Cc1ccc(cc1)C(=O)OC(C(OC(=O)c1ccc(C)cc1)C(O)=O)C(O)=O,CCN1CCOC2C1CC1=CNc3cccc2c13
CUWJUZ,Oc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,O=P(c1ccccc1)(c1ccccc1)c1ccccc1
TMXSTQ10,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,COc1ccc(OC)c(C=Cc2cc(OC)ccc2OC)c1
BOTRIL10,CN(C)c1ccc(NC(=O)NC(=O)Cc2ccccc2)cc1,CC(C)CNC(=O)NC(=O)c1ccc(cc1)N(=O)=O
BUDWAY10,NC1=NC2=C(N=CN2CCC(O)=O)C(=O)N1,CN1C=CC(=NC1=O)N
BUYSET10,O=C1CCC(=O)O1,CC1=CC=C(O1)C1(O)C(=O)OC2C(O)COC12O
CEBWEL,N#Cc1ccccc1,O=C1c2ccccc2C(=O)c2c3[Se][Se][Se]c4c5C=CC=Cc5c([Se][Se][Se]c(c5C=CC=Cc35)c12)c1C(=O)c2ccccc2C(=O)c41
