csd_id,name,smiles1,smiles2,year,functionality,group
DOKHER,"bis(1,10-Phenanthroline) dithio-oxamide",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,C(=S)(C(=S)N)N,2008,h-bond,2
DUHSEF,"2,4,8,10-Tetraoxospiro(5.5)undecane trifluoromethylsulfonamide",C1C2(COCO1)COCOC2,C(F)(F)(F)S(=O)(=O)N,2008,h-bond,2
EFOZAB,"2,4,6(1H,3H,5H)-Pyrimidinetrione urea",C1C(=O)NC(=O)NC1=O,C(=O)(N)N,2008,h-bond,2
GIRPON,Phthalazin-1(2H)-one picric acid,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],C1=CC=C2C(=C1)C=NNC2=O,2008,h-bond,2
GISMOL,Triphenylphosphine oxide hydroquinone,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,C1=CC(=CC=C1O)O,2008,h-bond,2
GOGQID,3-Pyridinecarboxamide 4-hydroxybenzoic acid ethyl ester,CCOC(=O)C1=CC=C(C=C1)O,C1=CC(=CN=C1)C(=O)N,2008,h-bond,2
GOJQAY,"3,3'-(1,3-Propanediyl)bis(2,4,6-trimethylbenzoic acid) bis(collidine)",CC1=CC(=C(C(=C1CCCC2=C(C(=C(C=C2C)C)C(=O)O)C)C)C(=O)O)C,CC1=CC(=NC(=C1)C)C,2008,h-bond,2
GUFDOB,"Ethyl 8-methoxy-2-oxo-2H-chromene-3-carboxylate 1,3-benzothiazol-2-amine",CCOC(=O)C1=CC2=C(C(=CC=C2)OC)OC1=O,C1=CC=C2C(=C1)N=C(S2)N,2008,h-bond,2
HIZBEY,"4-(2-(4-Methoxyphenyl)ethenyl)pyridine 1,3-di-iodotetrafluorobenzene",C1(=C(C(=C(C(=C1F)I)F)I)F)F,COC1=CC=C(C=C1)/C=C/C2=CC=NC=C2,2008,halogen_bond,3
HOFJOC,"Naphthalene-2,3-diol imidazole",C1=CC=C2C=C(C(=CC2=C1)O)O,C1=CN=CN1,2008,h-bond,2
HOJLIC,Imidazolidin-2-one urea,C1CNC(=O)N1,C(=O)(N)N,2008,h-bond,2
